	id_tweet	created_at	user_name	text	clean	cluster
20900	1070696543559344128	2018-12-06 10:08:43	BogotaTransito	📢#Atención: se actualiza recorrido de la @UNColombia para hoy. Los manifestantes saldrán de la calle 45 por la Av. NQS hacia el sur hasta la calle 26. De ahí irán a la Plaza del Concejo para tomar la calle 34 hacia el oriente. Posibles destinos: Plaza de Bolívar o la Mariposa.	   atención   actualizar recorrer      manifestante salir callar     av   nqs sur callar      ir a plaza concejo tomar callar     orientar   posible destino   plaza bolívar o mariposa	-1
1795	1048753541010153474	2018-10-06 20:55:03	Citytv	Se cumplen 44 años de un hito para la ingeniería colombiana: el 6 de octubre de 1974 fue trasladado 29 metros el Edificio Cudecom para darle paso a la calle 19. Hoy recordamos la hazaña en voz de los bogotanos #CityNoticiasFDS #TuMundoAquí	cumplir     año hitar ingeniería colombiano      octubre       trasladar     metro edificio cudecom darle pasar a callar      recordar hazaña voz bogotano   city noticiasfds   mundo	-1
7777	1055786142862327811	2018-10-26 06:40:06	Citytv	#ElNoctámbulo ¡Insólito! Macabro hallazgo de la @PoliciaBogota de tres cuerpos, en avanzado estado de descomposición, en el interior de una vivienda en Ciudad Bolívar. Los uniformados encontraron a un menor de 4 años encerrado en la casa conviviendo con los cuerpos #ArribaBogotá https://t.co/ovC0BYW87f	  noctámbulo   insólito   macabro hallazgo    cuerpo   avanzar descomposición   interior vivienda ciudad bolívar   uniformar encontrar a menor    año encerrar casar convivir cuerpo   bogotá  	-1
14427	1063666520662913025	2018-11-17 00:33:55	Citytv	#SalYPimienta Muy precavidos fueron los magistrados de la @CConstitucional este jueves que, para no quedar atrapados en el tráfico por las marchas estudiantiles, decidieron cambiar de sede #TuMundoHoy https://t.co/hQe7Ee7O8a	  saly pimienta precaver magistrado    jueves   quedar atrapar tráfico marchar estudiantil   decidir cambiar sedar   mundo  	-1
16673	1066022797942636549	2018-11-23 12:36:55	Citytv	#CityNoticiasMD Ya se comenzaron a adjudicar contratos para el Metro de Bogotá. Sin embargo, hubo polémica por un solo oferente para gerenciarlo. Según Andrés Escobar, gerente del Metro, la razón es el deseo de adjudicar este año. https://t.co/rAHteR7NYO	  city noticiasmd comenzar a adjudicar contrato metro bogotá     polémico oferente gerenciarlo   andrés escobar   gerente metro   razón desear adjudicar año   	-1
17870	1067575470185725952	2018-11-27 19:26:41	Citytv	#CityCubre ► La @PoliciaBogota tendrá un gran dispositivo para vigilar el normal transcurso de las marchas y evitar cualquier alteración del orden público u obstrucción de vías. Se ha reforzado el pie de fuerza para @TransMilenio #CityNoticias https://t.co/m60vivJh04	  city cubrir       dispositivo vigilar normal transcurso marchar y evitar alteración orden público u obstrucción vía   reforzar pie forzar     city noticiar  	-1
24822	1075397950250074112	2018-12-19 09:30:25	Citytv	RT @ArribaBogota: Hasta aquí #ArribaBogotá. Nos vemos maña a las 5:30 A.M. con las principales noticias de la capital colombiana. Quédese c…	      bogotá   ver maño a       a metro   principal noticiar capital colombiano   quédese c	-1
6194	1054325030845333506	2018-10-22 05:54:10	RedapBogota	Buen día.Autoridades reportan al momento  vias  de Cali normales a esta hora de la mañana.  5:50 AM.	autoridad reportar   vias   cali normal a hora mañana         am	-1
8021	1055958424813518848	2018-10-26 18:04:41	RedapBogota	Entrando por la autopista sur, tráfico normal a la altura del terminal del sur.	entrar autopista sur   tráfico normal a altura terminal sur	-1
