	id_tweet	created_at	user_name	text	clean	cluster	subcluster
1370	1060275819300425729	2018-11-07 16:00:28	BogotaTransito	#AEstaHora continua manifestación a la altura de la calle 13, en la Plaza de la Mariposa. Se evidencia enfrentamiento con las autoridades. Aunque no se presenta afectación del carril exclusivo de @TransMilenio, si lo está el mixto. Calle 13 hacia el oriente permanece cerrada. https://t.co/v0GSqWaQ8x	  a hora continuo manifestación a altura callar      plaza mariposa   evidenciar enfrentamiento autoridad   presentar afectación carril exclusivo     mixto   callar     orientar permanecer cerrar   	5	-1
1526	1061625594880897027	2018-11-11 09:24:00	BogotaTransito	📢#AEstaHora se desarrolla la caminata contra la diabetes y la obesidad en el Día del Peatón. Los caminantes avanzan por la calle 72 con 11 para luego tomar la carrera 7 hacia el sur hasta el Parque Nacional. Autoridades acompañan el recorrido. https://t.co/9raJM3SUdp	   a hora desarrollar caminata diabetes y obesidad peatón   caminante avanzar callar         tomar carrera    sur parque nacional   autoridad acompañar recorrer   	5	-1
1883	1065292978300887040	2018-11-21 12:16:52	BogotaTransito	📢#Atención: a esta hora se presentan disturbios entre estudiantes de la @UNColombia y autoridades en la calle 26 con carrera 36 (Or-Occ).Desde el interior del plantel se evidencia que arrojan objetos hacia afuera. Sugerimos precaución al movilizarse por el corredor. https://t.co/OZ98gsikVt	   atención   a hora presentar disturbio estudiante    y autoridad callar     carrera      or occ   interior plantel evidenciar arrojar objeto aforar   sugerir precaución movilizarse corredor   	5	-1
1572	1062491675656888320	2018-11-13 18:45:30	BogotaTransito	📢#Atención: luego de presentarse bloqueos en la calle 26 con carrera 40, al parecer estudiantes de la @UNColombia momentos después salen por la Av. NQS con calle 45 y bloquean parte de la calzada mixta.Autoridades en lugar controlan la situación ante disturbios.	   atención   presentarse bloqueo callar     carrera      parecer estudiante    momento salir av   nqs callar     y bloquear calzar mixto autoridad controlar situación disturbio	5	-1
1947	1065699321784528896	2018-11-22 15:11:32	BogotaTransito	📢#Atención: recomendamos evitar la calle 72 con carrera 11. Tramo permanece cerrado debido a disturbios entre estudiantes de la @comunidadUPN y autoridades. Al parecer se lanzó objeto incendiario desde las instalaciones del plantel. https://t.co/cKzpEPZ6OH	   atención   recomendar evitar callar     carrera      tramar permanecer cerrar a disturbio estudiante    y autoridad   parecer lanzar objetar incendiario instalación plantel   	5	-1
1945	1065685552673038337	2018-11-22 14:16:49	BogotaTransito	📢#Atención: se reportan disturbios entre autoridades y estudiantes de la @UNColombia sobre la calle 26 con carrera 36.Recomendamos precaución y cuidado a la hora de transitar por este corredor.	   atención   reportar disturbio autoridad y estudiante    callar     carrera     recomendar precaución y cuidar a hora transitar corredor	5	-1
99	1047462010772971521	2018-10-03 07:22:58	Citytv	En la Av. 68 con calle 53 un conductor, en aparente estado de embriaguez, estrelló a un vehículo que esperaba el cambio de semáforo. Dos personas resultaron lesionadas #ElNoctámbulo #ArribaBogotá https://t.co/rqBBNmPK0S	av      callar     conductor   aparentar embriaguez   estrellar a vehículo esperar cambiar semáforo   personar resultar lesionar   noctámbulo   bogotá  	5	-1
2042	1066743605996466176	2018-11-25 12:21:09	Citytv	Un motocliclista, en aparente estado de embriaguez, falleció luego de perder el control de su vehículo y caer al vacío en el puente de la avenida primero de mayo con avenida Boyacá. #CityNoticiasFDS	motocliclista   aparentar embriaguez   fallecer perder control vehículo y caer vaciar puente avenir mayar avenir boyacá    city noticiasfds	5	-1
1622	1062800066040287232	2018-11-14 15:10:56	BogotaTransito	15:05 🌧⛈ de acuerdo al sistema de alerta de Bogotá @IDIGER, se reportan lluvias en las siguientes localidades de la ciudad:UsaquénSubaEngativaRecuerda que la lluvia puede restarle visibilidad y el piso húmedo afectar la capacidad de frenado. Conduce con precaución. https://t.co/RAYtQMsiXa	          sistema alertar bogotá     reportar lluvia siguiente localidad ciudad usaquén subir engativa recordar lluvia restarle visibilidad y pisar húmedo afectar capacidad frenar   conducir precaución   	5	-1
1727	1063536463869022208	2018-11-16 15:57:07	BogotaTransito	15:50  De acuerdo al sistema de alerta de Bogotá @IDIGER, se reportan lluvias en las siguientes localidades de la ciudad:UsaquénKennedyBosaPuente ArandaLos MartiresRecuerda  conducir con precaución.https://t.co/WJ4Sym7Tlt https://t.co/OpuYhwWorL	        sistema alertar bogotá     reportar lluvia siguiente localidad ciudad usaquén kennedy bosa puente aranda martires recordar   conducir precaución    	5	-1
