	id_tweet	created_at	user_name	text	clean	cluster
1382	1047262465376092167	2018-10-02 18:10:03	RedapBogota	Incidentes viales sobre la Av NQS: ✔Incidente entre particular y camioneta a la altura de la calle 63 (S-N)✔Incidente entre taxi y bus a la altura de la calle 86 (N-S)	incidente vial av nqs    incidente particular y camioneta a altura callar      segundo n   incidente taxi y bus a altura callar      n segundo	1
31813	1059776454710476800	2018-11-06 06:56:11	RedapBogota	Incidente vial entre camioneta  y camión ‍ en la Av. Cali con calle 14, sentido norte- sur.	incidente vial camioneta   y camión    av   cali callar      sentir norte   sur	1
31808	1059776280353296385	2018-11-06 06:55:29	RedapBogota	Incidente vial entre dos motocicletas ‍ en la Av. Cali con calle 11A, sentido sur- norte.	incidente vial motocicleta    av   cali callar    a   sentir sur   norte	1
43732	1062676691678621698	2018-11-14 07:00:41	RedapBogota	Incidente vial entre un particular  y un camión  en la Av. P. Mayo con carrera 24F, sentido occidente - oriente.Incidente vial entre un particular  y un bus  en la calle 13 con carrera 50, sentido occidente - oriente.	incidente vial particular   y camión   av   página   mayar carrera    f   sentir occidente    orientar incidente vial particular   y bus   callar     carrera      sentir occidente    orientar	1
31814	1059776491209310210	2018-11-06 06:56:19	RedapBogota	Incidente vial entre particular  y motocicleta en la Av. Villavicencio con carrera 74, sentido occidente- oriente.	incidente vial particular   y motocicleta av   villavicencio carrera      sentir occidente   orientar	1
31809	1059776325412667392	2018-11-06 06:55:40	RedapBogota	Incidente vial entre particular  y tractocamion ‍ en la calle  6D con carrera 87, sentido occidente- oriente.	incidente vial particular   y tractocamion    callar    d carrera      sentir occidente   orientar	1
61787	1068483990531784704	2018-11-30 07:36:49	RedapBogota	Incidente vial entre dos particulares en la Av. Boyacá con calle 9, sentido sur - norte.	incidente vial particular av   boyacá callar     sentir sur    norte	1
31812	1059776406857678848	2018-11-06 06:55:59	RedapBogota	Incidente vial se presenta caída de motocicleta ‍  en la Av. Boyaca con calle 116, sentido sur - norte.	incidente vial presentar caer motocicleta     av   boyaca callar       sentir sur    norte	1
1383	1047262504244666368	2018-10-02 18:10:12	RedapBogota	Se presenta volcamiento de bus escolar en la Av Caracas con Autopista al Llano. Unidad de tránsito y ambulancias en el punto.	presentar volcamiento bus escolar av caracas autopista llano   unidad tránsito y ambulancia punto	1
4971	1049287489872175104	2018-10-08 08:16:47	RedapBogota	Reporte de transito EVENTualidadeS EN VÍA colision  entre van  y bus  en la Calle 63 con transversal 85, sentido occ - ori.colision entre taxi  y motociclista en la Autonorte con calle 137, sentido norte - sur.	reportar transitar even tualidades vía colision     y bus   callar     transversal      sentir occ    ori colision taxi   y motociclista autonorte callar       sentir norte    sur	1
13919	1052204657639153664	2018-10-16 09:28:34	RedapBogota	Reporte de transitoBLOQUEOS EN VÍAPor la autopista Norte con calle 104 en sentido norte - sur frente a las instalaciones de la clínica Jorge Piñeros, personal médico adelanta bloqueos intermitentes	reportar transitobloqueos vía autopista norte callar      sentir norte    sur frente a instalación clínico jorge piñeros   personal médico adelantar bloqueo intermitente	1
11294	1050723669801136129	2018-10-12 07:23:39	RedapBogota	Reporte de transitoEVENTUALIDADES EN VÍAen la carrera 7 con calle 49 en sentido sur - norte un motociclista se causa autolesionesen la avenida Boyacá con avenida La Esperanza en sentido sur - norte chocan dos motocicletas, una persona lesionada	reportar transitoeventualidades víaen carrera    callar     sentir sur    norte motociclista causar autolesionesen avenir boyacá avenir esperanzar sentir sur    norte chocar motocicleta   personar lesionar	1
