	id_tweet	created_at	user_name	text	clean	cluster
2768	1050037092674355200	2018-10-10 09:55:26	BogotaTransito	📢#Atención: inicia recorrido de estudiantes de la @udistrital sede Tecnológica del Sur. Cerca de 400 personas toman la Av. Gaitán Cortés con destino @SENAComunica sede Av. Primero de Mayo con Cra. 30 para luego tomar este corredor hasta la calle 6.	   atención   iniciar recorrer estudiante    sedar tecnológico sur        personar tomar av   gaitán cortés destinar    sedar av   mayar cra      tomar corredor callar   	1
3602	1050760420519268352	2018-10-12 09:49:41	BogotaTransito	📢#Atención: inicia manifestación convocada por trabajadores de Corabastos. A esta hora desde el Portal Banderas inician desplazamiento por la Av. Américas hacia el oriente. Evita este corredor. https://t.co/B4AD2Siqeo	   atención   iniciar manifestación convocar trabajador corabastos   a hora portal bandera iniciar desplazamiento av   américas orientar   evitar corredor   	1
3632	1050784490031857675	2018-10-12 11:25:19	BogotaTransito	📢#Atención: manifestación proveniente de Corabastos y Portal Banderas toma a esta hora la calle 13 con carrera 47 en dirección al oriente, ocupando dos de tres carriles. Destino Plaza de Bolívar https://t.co/LvjNpj1hly	   atención   manifestación proveniente corabastos y portal bandera tomar a hora callar     carrera     dirección orientar   ocupar carril   destinar plaza bolívar  	1
3662	1050810061776478208	2018-10-12 13:06:56	BogotaTransito	📢#Atención: manifestación proveniente de Corabastos llega hasta la Av. Jiménez con carrera 10, dirección oriente. Las personas se movilizan a esta hora por el exclusivo de @TransMilenio. Destino Plaza de Bolívar. https://t.co/oTSrg2Su50	   atención   manifestación proveniente corabastos llegar av   jiménez carrera      dirección orientar   personar movilizar a hora exclusivo     destinar plaza bolívar   	1
4858	1052609832015024129	2018-10-17 12:18:35	BogotaTransito	#AEstaHora avanza movilización de estudiantes de la @comunidadUPN por la calle 72 con Av. Caracas. Se prevé que el grupo tome por este corredor hacia el sur hasta la calle 13, para luego tomar esta vía hacia el oriente hasta la carrera 7. https://t.co/6CDNHMOSNM	  a hora avanzar movilización estudiante    callar     av   caracas   prever grupo tomar corredor sur callar      tomar vía orientar carrera     	1
4864	1052613963207385091	2018-10-17 12:35:00	BogotaTransito	📢#Atención: estudiantes de la @comunidadUPN que se movilizan por la Av. Caracas con calle 72 bloquean a esta hora carril mixto y exclusivo de @TransMilenio afectando la operación de sistema. https://t.co/fGqrsfkcaM	   atención   estudiante    movilizar av   caracas callar     bloquear a hora carril mixto y exclusivo    afectar operación sistema   	1
11608	1060570964759580672	2018-11-08 11:33:17	BogotaTransito	#AEstaHora en la Av. Eldorado sobre la carrera 100 manifestantes descienden de sus vehículos e inician protesta a pie. Se afecta en su  totalidad el carril lento en dirección hacia el occidente. https://t.co/BQcmISspcQ	  a hora av   eldorado carrera      manifestante descender vehículo e iniciar protestar a pie   afecto   totalidad carril lento dirección occidente   	1
13778	1063113988400132096	2018-11-15 11:58:21	BogotaTransito	📢#Atención: Por marchas, sin paso para tráfico mixto y @TransMilenio en NQS sentido sur norte entre Calle 45 y Calle 80. Sin paso en Carrera 7 en ambos sentidos, frente a Universidad Javeriana.	   atención   marchar   pasar tráfico mixto y    nqs sentir sur norte callar     y callar      pasar carrera    sentir   frente a universidad javeriana	1
13811	1063148992484306944	2018-11-15 14:17:26	BogotaTransito	📢#Atención: Las marchas que venían por la Calle 80 y Av. Caracas se unen en Héroes. El recorrido continuará por Autonorte hasta la Calle 100, de allí al oriente, y por la Carrera 15 al norte hasta la Calle 106. Se esperan bloqueos en estas vías en las próximas horas	   atención   marchar venir callar     y av   caracas unir héroe   recorrer continuar autonorte callar       orientar   y carrera     norte callar       esperar bloqueo vía próximo	1
13926	1063203605589704709	2018-11-15 17:54:27	BogotaTransito	📢#Atención: Manifestantes marchan por la Carrera 7 hacia el sur, entre la Calle 94 y Calle 92. Sin paso para particulares ni transporte público al sur. https://t.co/m3puK7VsHB	   atención   manifestante marchar carrera    sur   callar     y callar      pasar particular transportar público sur   	1
16292	1065675212920971265	2018-11-22 13:35:44	BogotaTransito	RT @CaracolRadio: #EnDesarrollo | Fuerte granizada afecta el norte de Bogotá. Llueve intensamente en varias zonas de la ciudad&gt;&gt;&gt; https:/…	     desarrollar    fuerte granizar afecto norte bogotá   llover intensamente zona ciudad gt   gt   gt   https   	1
